,Country_name,Regional_indicator,Ladder_score,Social_support,Healthy_life_expectancy,Perceptions_of_corruption,year
147,Zimbabwe,Sub-Saharan Africa,3.145,0.75,56.201,0.821,2021
148,Afghanistan,South Asia,2.523,0.46299999999999997,52.493,0.924,2021
11,Afghanistan,Middle East and North Africa,2.375,0.42,52.4,0.924,2019
23,Albania,East Asia,4.995,0.6859999999999999,69.0,0.914,2019
24,Albania,Middle East and North Africa,5.365,0.71,69.3,0.8909999999999999,2020
32,Algeria,Central and Eastern Europe,4.745,0.8029999999999999,66.1,0.741,2019
50,Argentina,Central and Eastern Europe,6.086,0.8959999999999999,69.0,0.83,2019
51,Argentina,Latin America and Caribbean,5.901,0.897,69.2,0.816,2020
65,Armenia,Latin America and Caribbean,5.4879999999999995,0.782,67.2,0.583,2019
78,Australia,Southeast Asia,7.234,0.943,73.9,0.43,2019
79,Australia,Middle East and North Africa,7.1370000000000005,0.937,74.2,0.491,2020
91,Austria,Sub-Saharan Africa,7.195,0.9640000000000001,73.3,0.457,2019
92,Austria,Central and Eastern Europe,7.212999999999999,0.925,73.6,0.46399999999999997,2020
106,Azerbaijan,Latin America and Caribbean,5.172999999999999,0.887,65.8,0.457,2019
116,Bahrain,Sub-Saharan Africa,7.098,0.878,69.3,,2019
117,Bahrain,Middle East and North Africa,6.172999999999999,0.848,69.7,,2020
131,Bangladesh,Middle East and North Africa,5.114,0.6729999999999999,64.8,0.6559999999999999,2019
132,Bangladesh,Sub-Saharan Africa,5.28,0.7390000000000001,65.3,0.742,2020
146,Belarus,Sub-Saharan Africa,5.821000000000001,0.917,66.4,0.546,2019
159,Belgium,Unspecified,6.772,0.884,72.2,0.672,2019
160,Belgium,Unspecified,6.8389999999999995,0.904,72.4,0.634,2020
173,Benin,Unspecified,4.976,0.442,54.7,0.698,2019
174,Benin,Unspecified,4.408,0.507,55.1,0.532,2020
191,Bolivia,Unspecified,5.6739999999999995,0.784,63.9,0.857,2019
192,Bolivia,Unspecified,5.559,0.805,64.2,0.868,2020
204,Bosnia and Herzegovina,Unspecified,6.016,0.873,68.1,0.963,2019
205,Bosnia and Herzegovina,Unspecified,5.516,0.899,68.4,0.9159999999999999,2020
217,Botswana,Unspecified,3.471,0.774,59.6,0.792,2019
231,Brazil,Unspecified,6.4510000000000005,0.899,66.6,0.762,2019
232,Brazil,Unspecified,6.11,0.831,66.8,0.7290000000000001,2020
243,Bulgaria,Unspecified,5.1080000000000005,0.948,67.0,0.943,2019
244,Bulgaria,Unspecified,5.598,0.9159999999999999,67.2,0.9009999999999999,2020
257,Burkina Faso,Unspecified,4.7410000000000005,0.6829999999999999,54.4,0.7290000000000001,2019
276,Cambodia,Unspecified,4.998,0.759,62.0,0.828,2019
277,Cambodia,Unspecified,4.377,0.7240000000000001,62.4,0.863,2020
291,Cameroon,Unspecified,4.937,0.711,53.5,0.8170000000000001,2019
292,Cameroon,Unspecified,5.2410000000000005,0.72,54.3,0.8370000000000001,2020
306,Canada,Unspecified,7.109,0.925,73.8,0.436,2019
307,Canada,Unspecified,7.025,0.9309999999999999,74.0,0.434,2020
326,Chad,Unspecified,4.251,0.64,48.7,0.8320000000000001,2019
340,Chile,Unspecified,5.942,0.8690000000000001,70.0,0.86,2019
341,Chile,Unspecified,6.151,0.888,70.1,0.812,2020
355,China,Unspecified,5.144,0.8220000000000001,69.6,,2019
356,China,Unspecified,5.771,0.8079999999999999,69.9,,2020
370,Colombia,Unspecified,6.35,0.873,68.0,0.8540000000000001,2019
371,Colombia,Unspecified,5.709,0.797,68.3,0.8079999999999999,2020
377,Comoros,Unspecified,4.609,0.632,57.5,0.762,2019
387,Congo (Brazzaville),Unspecified,5.212999999999999,0.625,58.5,0.741,2019
409,Costa Rica,Unspecified,6.997999999999999,0.9059999999999999,71.5,0.836,2019
421,Croatia,Unspecified,5.626,0.9359999999999999,70.8,0.932,2019
422,Croatia,Unspecified,6.507999999999999,0.9229999999999999,71.4,0.961,2020
435,Cyprus,Unspecified,6.1370000000000005,0.7759999999999999,73.9,0.865,2019
436,Cyprus,Unspecified,6.26,0.8059999999999999,74.1,0.816,2020
448,Czech Republic,Unspecified,6.897,0.9640000000000001,71.3,0.884,2020
462,Denmark,Unspecified,7.693,0.958,72.7,0.174,2019
463,Denmark,Unspecified,7.515,0.9470000000000001,73.0,0.214,2020
481,Dominican Republic,Unspecified,6.004,0.884,66.1,0.746,2019
482,Dominican Republic,Unspecified,5.167999999999999,0.8059999999999999,66.4,0.636,2020
